EmployeeID,Attrition,retirementDate,retirementType,resignationReason
2,Yes,15/10/2016,Resignation,Others
7,Yes,20/7/2016,Resignation,Stress
14,Yes,8/11/2016,Resignation,Others
29,Yes,15/10/2016,Resignation,Others
31,Yes,8/2/2016,Resignation,Salary
36,Yes,18/6/2016,Resignation,Others
39,Yes,29/4/2016,Resignation,Stress
60,Yes,15/12/2016,Resignation,Others
66,Yes,18/1/2016,Resignation,Salary
70,Yes,23/8/2016,Fired,NA
79,Yes,17/2/2016,Resignation,Salary
100,Yes,23/2/2016,Resignation,Others
106,Yes,7/4/2016,Resignation,Salary
109,Yes,8/10/2016,Resignation,Others
111,Yes,12/8/2016,Resignation,Stress
113,Yes,14/10/2016,Resignation,Others
121,Yes,26/7/2016,Fired,NA
125,Yes,2/5/2016,Resignation,Stress
128,Yes,29/7/2016,Resignation,Others
148,Yes,10/1/2016,Resignation,Salary
157,Yes,29/2/2016,Resignation,Others
158,Yes,25/3/2016,Resignation,Others
164,Yes,30/6/2016,Resignation,Others
165,Yes,16/11/2016,Fired,NA
178,Yes,13/2/2016,Resignation,Others
179,Yes,5/7/2016,Resignation,Salary
182,Yes,22/2/2016,Resignation,Others
183,Yes,3/1/2016,Fired,NA
186,Yes,5/3/2016,Resignation,Stress
196,Yes,4/9/2016,Resignation,Salary
200,Yes,25/1/2016,Resignation,Salary
206,Yes,10/1/2016,Resignation,Salary
212,Yes,1/6/2016,Resignation,Salary
222,Yes,22/6/2016,Fired,NA
223,Yes,28/10/2016,Fired,NA
225,Yes,23/6/2016,Resignation,Salary
238,Yes,30/5/2016,Resignation,Others
247,Yes,14/7/2016,Resignation,Others
256,Yes,17/8/2016,Resignation,Salary
257,Yes,28/1/2016,Resignation,Others
268,Yes,19/1/2016,Resignation,Others
271,Yes,6/4/2016,Resignation,Others
283,Yes,6/3/2016,Resignation,Salary
290,Yes,8/12/2016,Resignation,Others
305,Yes,1/9/2016,Fired,NA
309,Yes,11/9/2016,Resignation,Salary
311,Yes,9/6/2016,Resignation,Salary
316,Yes,30/9/2016,Resignation,Others
328,Yes,17/1/2016,Resignation,Stress
332,Yes,26/8/2016,Resignation,Salary
334,Yes,13/3/2016,Resignation,Others
338,Yes,19/6/2016,Resignation,Stress
341,Yes,18/5/2016,Resignation,Salary
350,Yes,9/3/2016,Resignation,Others
351,Yes,24/8/2016,Resignation,Others
357,Yes,4/9/2016,Resignation,Salary
379,Yes,11/6/2016,Fired,NA
388,Yes,19/2/2016,Resignation,Others
399,Yes,22/4/2016,Fired,NA
403,Yes,11/8/2016,Resignation,Salary
405,Yes,25/3/2016,Resignation,Others
406,Yes,2/9/2016,Resignation,Others
409,Yes,1/4/2016,Resignation,Others
410,Yes,26/5/2016,Resignation,Others
412,Yes,21/7/2016,Resignation,Others
426,Yes,26/11/2016,Resignation,Others
431,Yes,12/8/2016,Resignation,Others
432,Yes,2/6/2016,Resignation,Salary
436,Yes,26/6/2016,Fired,NA
438,Yes,25/5/2016,Resignation,Others
443,Yes,12/12/2016,Resignation,Salary
449,Yes,22/10/2016,Resignation,Others
452,Yes,6/11/2016,Resignation,Others
454,Yes,10/9/2016,Resignation,Others
463,Yes,19/2/2016,Resignation,Stress
468,Yes,1/5/2016,Resignation,Stress
474,Yes,14/11/2016,Fired,NA
475,Yes,13/12/2016,Resignation,Others
487,Yes,21/9/2016,Resignation,Others
491,Yes,27/11/2016,Resignation,Others
492,Yes,18/10/2016,Resignation,Others
495,Yes,10/5/2016,Resignation,Others
504,Yes,10/2/2016,Resignation,Stress
505,Yes,1/7/2016,Resignation,Salary
519,Yes,2/5/2016,Resignation,Others
520,Yes,26/2/2016,Resignation,Salary
522,Yes,22/10/2016,Resignation,Others
523,Yes,3/11/2016,Fired,NA
532,Yes,21/7/2016,Resignation,Others
534,Yes,6/3/2016,Resignation,Others
535,Yes,2/12/2016,Resignation,Salary
539,Yes,8/1/2016,Resignation,Stress
540,Yes,4/1/2016,Resignation,Others
541,Yes,18/4/2016,Resignation,Others
543,Yes,24/1/2016,Resignation,Salary
544,Yes,31/7/2016,Resignation,Others
556,Yes,27/5/2016,Resignation,Others
571,Yes,6/4/2016,Resignation,Others
572,Yes,27/4/2016,Resignation,Others
574,Yes,23/8/2016,Resignation,Others
579,Yes,6/3/2016,Resignation,Salary
581,Yes,19/9/2016,Resignation,Salary
585,Yes,24/1/2016,Resignation,Salary
592,Yes,29/1/2016,Resignation,Others
600,Yes,16/9/2016,Resignation,Others
603,Yes,12/3/2016,Resignation,Stress
607,Yes,6/4/2016,Resignation,Salary
614,Yes,21/4/2016,Resignation,Stress
635,Yes,20/5/2016,Fired,NA
654,Yes,19/1/2016,Resignation,Stress
656,Yes,26/7/2016,Resignation,Salary
658,Yes,4/9/2016,Resignation,Others
671,Yes,18/2/2016,Resignation,Others
675,Yes,23/7/2016,Resignation,Salary
682,Yes,18/3/2016,Resignation,Stress
683,Yes,25/6/2016,Fired,NA
689,Yes,10/8/2016,Resignation,Salary
690,Yes,22/2/2016,Resignation,Salary
695,Yes,26/3/2016,Resignation,Salary
696,Yes,21/3/2016,Fired,NA
709,Yes,31/1/2016,Resignation,Others
718,Yes,11/10/2016,Resignation,Others
723,Yes,5/5/2016,Resignation,Salary
724,Yes,4/8/2016,Resignation,Salary
728,Yes,27/10/2016,Resignation,Others
740,Yes,31/8/2016,Resignation,Others
749,Yes,13/11/2016,Resignation,Others
